CIK Symbol
66740 MMM
1800 ABT
1551152 ABBV
815094 ABMD
1467373 ACN
718877 ATVI
796343 ADBE
2488 AMD
1158449 AAP
874761 AES
4977 AFL
1090872 A
2969 APD
1086222 AKAM
766421 ALK
915913 ALB
1035443 ARE
899866 ALXN
1097149 ALGN
1579241 ALLE
352541 LNT
899051 ALL
1652044 GOOGL
1652044 GOOG
764180 MO
1018724 AMZN
1748790 AMCR
1002910 AEE
6201 AAL
4904 AEP
4962 AXP
5272 AIG
1053507 AMT
1410636 AWK
820027 AMP
1140859 ABC
1037868 AME
318154 AMGN
820313 APH
6281 ADI
1013462 ANSS
1156039 ANTM
315293 AON
91142 AOS
6769 APA
320193 AAPL
6951 AMAT
1521332 APTV
7084 ADM
1596532 ANET
354190 AJG
1267238 AIZ
732717 T
731802 ATO
769397 ADSK
8670 ADP
866787 AZO
915912 AVB
8818 AVY
1701605 BKR
9389 BLL
70858 BAC
1390777 BK
10456 BAX
10795 BDX
1067983 BRK.B
764478 BBY
12208 BIO
875045 BIIB
1364742 BLK
12927 BA
1075531 BKNG
908255 BWA
1037540 BXP
885725 BSX
14272 BMY
1730168 AVGO
1383312 BR
14693 BF.B
1043277 CHRW
858470 COG
813672 CDNS
16732 CPB
927628 COF
721371 CAH
1170010 KMX
815097 CCL
1783180 CARR
1596783 CTLT
18230 CAT
1374310 CBOE
1138118 CBRE
1402057 CDW
1306830 CE
1071739 CNC
1130310 CNP
804753 CERN
1324404 CF
316709 SCHW
1091667 CHTR
93410 CVX
1058090 CMG
896159 CB
313927 CHD
1739940 CI
20286 CINF
723254 CTAS
858877 CSCO
831001 C
759944 CFG
877890 CTXS
21076 CLX
1156375 CME
811156 CMS
21344 KO
1058290 CTSH
21665 CL
1166691 CMCSA
28412 CMA
23217 CAG
1163165 COP
1047862 ED
16918 STZ
711404 COO
900075 CPRT
24741 GLW
1755672 CTVA
909832 COST
1051470 CCI
277948 CSX
26172 CMI
64803 CVS
882184 DHI
313616 DHR
940944 DRI
927066 DVA
315189 DE
27904 DAL
818479 XRAY
1090012 DVN
1093557 DXCM
1539838 FANG
1297996 DLR
1393612 DFS
1437107 DISCA
1437107 DISCK
1001082 DISH
29534 DG
935703 DLTR
715957 D
1286681 DPZ
29905 DOV
1751788 DOW
936340 DTE
1326160 DUK
783280 DRE
1666700 DD
1688568 DXC
915389 EMN
1551182 ETN
1065088 EBAY
31462 ECL
827052 EIX
1099800 EW
712515 EA
32604 EMR
1463101 ENPH
65984 ETR
821189 EOG
33185 EFX
1101239 EQIX
906107 EQR
920522 ESS
1001250 EL
1370637 ETSY
1711269 EVRG
72741 ES
1095073 RE
1109357 EXC
